% Transportation data by me (E. Hedemalm, I. Panorel, A. Soderberg) when walking, bus and car.
% Internal name of the set.
@relation sensor

% Attributes.
% startTimeSecond,
% accMin, accMax, accAvg, accStdev,
% gyroMin, gyroMax, gyroAvg, gyroStdev,

@attribute startTimeSecond real

@attribute accMin real
@attribute accMax real
@attribute accAvg real
@attribute accStdev real

@attribute gyroMin real
@attribute gyroMax real
@attribute gyroAvg real
@attribute gyroStdev real

% transport
@attribute transport {Idle,Bus,Foot,Car,Bike,Train,Tram,Plane,Boat}

% Hedemalm E., Andreas S., Panorel I., Araujo V., Hedemalm D., Butterfield E., Zouzou, B. Hedemalm, B2. Hedemalm,  Reinhold B.,

% Panorel I.: Idle, Walking, Car

% startTimeSecond, accMin, accMax, accAvg, accStdev, gyroMin, gyroMax, gyroAvg, gyroStdev, transport
% DATA-START Bus data from a trip to the city-center.
% Data by,
@data
1487881086,9.058479,10.271531,9.61413,0.0,0.015975019,1.1578623,0.199009,0.0,Bus
1487881091,8.983773,10.30242,9.625401,0.0,0.03199674,1.4173601,0.2712643,1.7320508,Bus
1487881096,8.557218,10.743562,9.634411,2.236068,0.034896065,1.0989711,0.2780463,0.0,Bus
1487881101,8.817456,10.726096,9.661703,1.0,0.032946922,1.4789662,0.34603298,1.0,Bus
1487881106,8.984044,10.2193775,9.634856,0.0,0.019718736,1.1509957,0.23704147,0.0,Bus
1487881111,9.408822,9.942414,9.639922,0.0,0.01127356,0.31457242,0.058587182,0.0,Bus
1487881116,8.734816,10.285459,9.635851,0.0,0.007111905,1.2625008,0.08751287,1.0,Bus
1487881121,8.62887,11.680201,9.675503,2.828427,0.075812034,2.4261796,0.6102839,2.4494898,Bus
1487881127,7.9044323,12.596498,9.667107,4.8989797,0.02011748,1.5492071,0.39812377,1.0,Bus
1487881132,8.978348,10.239855,9.696025,0.0,0.014880574,0.37315342,0.081458814,0.0,Bus
1487881137,8.437538,12.092458,9.80144,5.7445626,0.074969634,0.8645915,0.3149507,0.0,Bus
1487881142,7.570642,11.85193,9.691034,7.81025,0.023531353,0.9727861,0.269146,0.0,Bus
1487881147,7.832879,10.977688,9.661292,4.7958317,0.023928823,0.81723183,0.16007696,0.0,Bus
1487881152,8.053949,12.124038,9.71609,6.78233,0.015064035,0.5673608,0.16670269,0.0,Bus
1487881157,7.869288,13.9901285,9.713374,8.944272,0.024494154,1.2596219,0.20474292,1.0,Bus
1487881162,8.243187,14.297008,9.647378,7.4161983,0.03172674,0.690297,0.20409499,0.0,Bus
1487881167,8.261341,12.523777,9.667558,6.164414,0.031309303,0.69402564,0.16133606,0.0,Bus
1487881172,7.3184743,12.3232,9.645881,9.327379,0.017825695,0.83407724,0.19702604,0.0,Bus
1487881177,7.904411,11.533084,9.695675,7.6811457,0.023316089,0.62146264,0.16742747,0.0,Bus
1487881182,8.525829,11.906833,9.62282,4.7958317,0.038576566,0.96222246,0.18098381,0.0,Bus
1487881187,8.551536,11.270656,9.673702,4.2426405,0.011050103,0.7889031,0.18337752,0.0,Bus
1487881192,7.840167,11.166727,9.66326,5.0,0.014545948,0.49321932,0.11811945,0.0,Bus
1487881197,8.956073,10.049009,9.635073,0.0,0.0031703783,0.42974064,0.07456233,0.0,Bus
1487881202,8.828369,10.57855,9.629361,0.0,0.010949231,0.3771841,0.073619135,0.0,Bus
1487881207,8.814835,10.693561,9.617249,1.0,0.0035521858,0.77034116,0.122447446,0.0,Bus
