% Transportation data by me (E. Hedemalm, I. Panorel, A. Soderberg) when walking, bus and car.
% Internal name of the set.
@relation sensor

% Attributes.
% startTimeSecond,
% accMin, accMax, accAvg, accStdev,
% gyroMin, gyroMax, gyroAvg, gyroStdev,

@attribute startTimeSecond real

@attribute accMin real
@attribute accMax real
@attribute accAvg real
@attribute accStdev real

@attribute gyroMin real
@attribute gyroMax real
@attribute gyroAvg real
@attribute gyroStdev real

% transport, PlaneT(axi) -> Bus, PlaneC, PlaneL -> Plane
@attribute transport {Idle,Bus,Foot,Car,Bike,Train,Tram,Subway,Boat,Plane}

% Hedemalm E., Andreas S., Panorel I., Araujo V., Hedemalm D., Butterfield E., Zouzou, B. Hedemalm, B2. Hedemalm,  Reinhold B.,  K. Wängberg,

% Panorel I.: Idle, Walking, Car

% startTimeSecond, accMin, accMax, accAvg, accStdev, gyroMin, gyroMax, gyroAvg, gyroStdev, transport
% DATA-START Bus data from a trip to the city-center.
% Data by,
@data
1490766759,8.191212,8.696848,8.501614,0.0,0.005373044,0.13211256,0.050417848,0.0,Idle
1490766764,8.183047,8.638545,8.496635,0.0,0.015074224,0.26381436,0.100035146,0.0,Idle
1490766769,8.3477335,8.616708,8.49582,0.0,0.009380694,0.10612993,0.040839855,0.0,Idle
1490766774,8.257025,8.624669,8.493063,0.0,0.009355654,0.18817292,0.07090151,0.0,Idle
1490766780,8.3491955,8.6334095,8.497134,0.0,0.00835325,0.25905988,0.083059706,0.0,Idle
1490766785,8.072395,8.957445,8.482747,0.0,0.0067061814,0.48976505,0.17207268,0.0,Idle
1490766790,8.020898,8.853793,8.503628,0.0,0.012443774,0.3989335,0.16934246,0.0,Idle
1490766795,8.145976,8.901206,8.505216,0.0,0.022926573,1.0523655,0.41089618,0.0,Idle
1490766800,7.7220807,9.911826,8.535349,1.4142135,0.027168928,1.146237,0.31889993,0.0,Idle
1490766805,8.138472,8.973325,8.5299425,0.0,0.020119123,0.61133033,0.19040117,0.0,Idle
1490766810,8.39421,8.649247,8.504217,0.0,0.0076950905,0.16428807,0.083516695,0.0,Idle
1490766815,8.367094,8.595929,8.505014,0.0,0.0036474252,0.09750461,0.038105205,0.0,Idle
1490766820,7.9944496,9.090115,8.530812,0.0,0.0054587023,0.3428309,0.11508359,0.0,Idle
1490766825,8.107227,8.673172,8.501377,0.0,0.007782835,0.305749,0.11513028,0.0,Idle
1490766830,8.35126,8.744067,8.517009,0.0,0.00821837,0.7838234,0.18541822,0.0,Idle
1490766835,8.227896,8.855105,8.520084,0.0,0.04018277,0.9841698,0.48608932,0.0,Idle
1490766840,8.336454,8.69459,8.503916,0.0,0.016660055,0.30209607,0.15831913,0.0,Idle
1490766845,8.385404,8.6453905,8.50064,0.0,0.015746368,0.27999708,0.11823203,0.0,Idle
1490766851,8.390978,8.656014,8.505009,0.0,0.007402463,0.095733486,0.03906289,0.0,Idle
1490766856,8.433117,8.590636,8.498392,0.0,0.005631837,0.12154067,0.027279692,0.0,Idle
1490766861,7.477167,9.372182,8.527863,1.0,0.0487896,0.95227164,0.40848222,0.0,Idle
1490766866,8.214146,8.790639,8.514627,0.0,0.044194058,0.84875965,0.37422618,0.0,Idle
1490766871,5.5586495,13.135123,8.622389,9.219544,0.023132753,2.1211274,0.46981478,3.0,Idle
1490766876,8.301446,8.603583,8.477751,0.0,0.010410442,0.6316193,0.19130002,0.0,Idle
1490766881,7.851845,9.058736,8.519881,0.0,0.017319936,0.64336497,0.1676808,0.0,Idle
1490766886,7.6714716,10.248612,8.514373,2.0,0.009018667,0.9105704,0.16805328,0.0,Idle
1490766891,7.5894365,11.398944,8.592543,5.196152,0.015611904,1.8645724,0.32975173,2.0,Idle
1490766896,6.0454545,15.652856,8.841417,22.494444,0.060077444,3.8957562,1.0048372,6.6332498,Idle
1490766902,6.8396,11.015948,8.623677,7.071068,0.043494813,2.222537,0.5704759,2.236068,Idle
1490766907,6.381093,11.841936,8.594696,8.485281,0.06018709,1.8232783,0.47516826,1.4142135,Idle
1490766912,4.262341,13.700821,8.874084,16.124516,0.10218916,3.1550987,0.78457344,3.6055512,Idle
1490766917,6.327212,15.125202,9.610582,12.60952,0.018962359,2.321115,0.5045333,3.7416575,Idle
1490766922,8.196463,12.024052,9.615042,3.6055512,0.005762734,1.182155,0.23139074,0.0,Idle
1490766927,8.438392,10.564865,9.535044,1.4142135,0.0060386453,0.68549895,0.15479995,0.0,Idle
1490766932,8.188903,10.857477,9.52124,2.4494898,0.035825457,1.7825938,0.34107962,2.0,Idle
1490766937,5.821839,15.697663,10.074006,20.68816,0.19836058,8.179431,1.8317292,15.427249,Idle
1490766942,9.026026,10.612463,9.689656,0.0,0.007894149,0.6220639,0.17082669,0.0,Idle
1490766947,9.253602,10.557853,9.695934,0.0,0.023850542,0.43242013,0.16319382,0.0,Train
1490766953,8.666703,10.626838,9.720245,1.4142135,0.0087013105,0.9006039,0.12323721,0.0,Train
1490766958,9.338307,10.386423,9.738889,0.0,0.007451134,0.583997,0.10119869,0.0,Train
1490766963,9.099844,10.19238,9.731723,0.0,0.0029453416,0.66952866,0.08097722,0.0,Train
1490766968,9.083921,10.622779,9.757273,0.0,0.015811183,0.6270119,0.13676952,0.0,Train
1490766973,8.901388,10.491819,9.695204,0.0,0.008041251,0.8837357,0.14153452,0.0,Train
1490766978,7.9105163,11.083183,9.696096,3.8729835,0.025684346,1.3118836,0.3704342,0.0,Train
1490766983,9.002594,11.183315,9.74311,1.4142135,0.010332003,0.8623431,0.18624929,0.0,Train
1490766988,9.049789,10.531442,9.720908,0.0,0.008341814,0.8906539,0.19445905,0.0,Train
1490766993,8.864292,10.71972,9.720339,0.0,0.03486564,0.929599,0.28343803,0.0,Train
1490766998,9.047773,10.488561,9.736085,0.0,0.014000003,0.58912516,0.121238545,0.0,Train
1490767003,8.467041,11.41152,9.689404,3.8729835,0.022862947,0.8535982,0.16442305,0.0,Train
1490767009,9.06637,10.544336,9.710796,0.0,0.019785525,0.36573175,0.11624291,0.0,Train
1490767014,8.664951,10.759653,9.722474,1.4142135,0.012712339,0.3142978,0.1138192,0.0,Train
1490767019,8.883891,10.973175,9.800932,1.4142135,0.014043733,0.60873044,0.14522614,0.0,Train
1490767024,8.981274,10.402961,9.763997,0.0,0.015599252,0.3424295,0.114551626,0.0,Train
1490767029,9.327672,10.327984,9.7572,0.0,0.010273188,0.33058953,0.084652156,0.0,Train
1490767034,8.827186,10.642539,9.747858,0.0,0.014726581,0.51244843,0.11833041,0.0,Train
